Time,Thermistor,Potentiometer
1662,466,643
1663,466,659
1664,466,680
1665,466,706
1666,466,739
1667,466,776
1668,466,813
1669,466,855
1670,466,900
1671,466,947
1672,466,990
1673,466,1012
1674,466,1022
1675,466,1022
1676,466,1022
1677,466,1023
1678,466,1023
1679,466,1022
1680,466,1022
1681,466,1022
1682,466,1022
1683,466,1022
1684,466,1023
1685,466,1022
1686,466,1022
1687,466,1022
1688,466,1022
1689,466,1022
1690,466,1022
1691,466,1023
1692,467,1022
1693,466,1022
1694,466,1022
1695,466,1023
1696,466,1022
1697,467,1022
1698,466,1022
1699,466,1021
1700,466,1022
1701,466,1022
1702,466,1022
1703,466,1022
1704,466,1022
1705,467,1022
1706,467,1021
1707,466,1022
1708,466,1022
1709,466,1022
1710,466,1023
1711,467,1022
1712,466,1022
1713,466,1022
1714,466,1022
1715,466,1022
1716,467,1022
1717,466,1022
1718,467,1022
1719,466,1022
1720,467,1022
1721,466,1021
1722,467,1022
1723,467,1022
1724,467,1022
1725,467,1021
1726,467,1023
1727,467,1022
1728,467,1022
1729,467,1021
1730,467,1022
1731,467,1022
1732,466,1022
1733,467,1022
1734,467,1022
1735,467,1022
1736,467,1022
1737,467,1021
1738,467,1022
1739,466,1022
1740,467,1022
1741,467,1022
1742,467,1022
1743,467,1023
1744,467,1022
1745,467,1022
1746,467,1022
1747,467,1022
1748,467,1022
1749,467,1022
1750,467,1022
1751,467,1022
1752,467,1022
1753,466,1022
1754,467,1022
1755,467,1022
1756,467,1023
1757,467,1022
1758,467,1022
1759,467,1022
1760,467,1022
1761,467,1022
1762,467,1022
1763,467,1022
1764,467,1022
1765,467,1022
1766,467,1022
1767,467,1022
1768,467,1021
1769,467,1023
1770,467,1022
1771,467,1022
1772,467,1022
1773,468,1022
1774,467,1022
1775,467,1022
1776,467,1022
1777,467,1022
1778,467,1022
1779,468,1022
1780,467,1022
1781,467,1022
1782,467,1022
1783,467,1022
1784,467,1023
1785,467,1022
1786,467,1022
1787,467,1022
1788,467,1022
1789,467,1022
1790,467,1022
1791,467,1022
1792,468,1022
1793,467,1022
1794,467,1022
1795,467,1022
1796,468,1021
1797,467,1022
1798,468,1022
1799,467,1022
1800,468,1021
1801,467,1022
1802,468,1022
1803,468,1021
1804,467,1022
1805,467,1023
1806,467,1022
1807,468,1022
1808,468,1022
1809,468,1022
1810,468,1022
1811,467,1022
1812,468,1022
1813,467,1022
1814,468,1022
1815,467,1022
1816,468,1022
1817,468,1022
1818,468,1022
1819,468,1022
1820,468,1022
1821,468,1022
1822,468,1022
1823,468,1022
1824,468,1022
1825,468,1022
1826,468,1022
1827,468,1022
1828,468,1022
1829,468,1022
1830,468,1022
1831,468,1022
1832,468,1022
1833,468,1022
1834,468,1021
1835,468,1022
1836,468,1022
1837,468,1022
1838,468,1022
1839,468,1022
1840,468,1022
1841,468,1022
1842,468,1021
1843,468,1022
1844,468,1022
1845,468,1022
1846,468,1021
1847,468,1022
1848,468,1022
1849,468,1022
1850,468,1022
1851,468,1022
1852,468,1022
1853,468,1022
1854,468,1022
1855,468,1022
1856,468,1022
1857,468,1023
1858,468,1022
1859,468,1022
1860,468,1021
1861,468,1022
1862,468,1022
1863,468,1022
1864,468,1023
1865,468,1022
1866,469,1022
1867,468,1022
1868,469,1022
1869,468,1022
1870,468,1022
1871,469,1022
1872,469,1022
1873,468,1022
1874,468,1022
1875,468,1022
1876,468,1022
1877,469,1022
1878,469,1022
1879,469,1022
1880,468,1022
1881,468,1022
1882,468,1022
1883,469,1022
1884,468,1022
1885,469,1022
1886,469,1022
1887,469,1022
1888,469,1022
1889,469,1022
1890,469,1022
1891,469,1022
1892,469,1022
1893,468,1022
1894,468,1022
1895,469,1022
1896,469,1022
1897,469,1022
1898,469,1022
1899,469,1022
1900,469,1023
1901,469,1022
1902,469,1022
1903,469,1022
1904,469,1022
1905,469,1022
1906,468,1022
1907,469,1022
1908,469,1021
1909,469,1022
1910,469,1022
1911,469,1022
1912,469,1022
1913,469,1022
